black,TMEM115,PEF1,NR1H2,SNRPB,LYPLA2,KIAA2013,ATP6V0B,WDR83OS,C1orf172,MFSD5
blue,VGLL3,TBK1,MAN1A2,MIER3,SPTLC1,IGF2BP3,ATAD1,CREBRF,CAPN6,RDX
brown,C12orf50,FSIP2,UNC80,REL,HTN1,TBC1D8B,WDPCP,CYP3A5,BLOC1S6,ORC4
green,HCK,TMSB4X,CD4,SASH3,FERMT3,LAPTM5,CD53,CORO1A,CYTH4,SPI1
greenyellow,PRPF40A,TRIP11,PHF3,C10orf118,KRR1,CNOT4,EEA1,HNRNPR,WAC,ZNF644
pink,TOP2A,NUSAP1,DEPDC1,HMMR,DLGAP5,BUB1B,TPX2,LMNB1,CCNA2,PRC1
purple,PVRL4,LYN,CALM1,NDRG1,INSIG1,HMHA1,LRRC1,MTSS1L,CCSAP,DCP2
salmon,HIST1H3B,HIST1H2AI,HIST1H2BO,HIST1H2AH,HIST1H3F,HIST1H2BL,HIST1H2BE,HIST1H2BJ,HIST1H2BH,HIST1H1B
turquoise,PTK2B,EGLN3,SLC2A10,IL1R2,MBP,REPS2,SERPINE2,KDELR3,EXTL3,HN1
