nodeName	altName	nodeAttr[nodesPresent, ]
ENSG00000072694	NA	grey
ENSG00000072778	NA	grey
ENSG00000072786	NA	grey
ENSG00000072952	NA	turquoise
ENSG00000072954	NA	grey
ENSG00000072958	NA	black
ENSG00000073060	NA	grey
ENSG00000073111	NA	salmon
ENSG00000073350	NA	grey
ENSG00000073417	NA	grey
ENSG00000073605	NA	brown
ENSG00000073711	NA	blue
ENSG00000073792	NA	greenyellow
ENSG00000073910	NA	grey
ENSG00000074047	NA	grey
ENSG00000074219	NA	grey
ENSG00000074319	NA	black
ENSG00000074416	NA	grey
ENSG00000074590	NA	turquoise
ENSG00000074657	NA	grey
ENSG00000074660	NA	grey
ENSG00000074695	NA	blue
ENSG00000074696	NA	black
ENSG00000074800	NA	grey
ENSG00000074842	NA	black
ENSG00000074935	NA	brown
ENSG00000074964	NA	grey
ENSG00000074966	NA	blue
ENSG00000075151	NA	grey
ENSG00000075213	NA	grey
ENSG00000075218	NA	pink
ENSG00000075223	NA	turquoise
ENSG00000075240	NA	grey
ENSG00000075275	NA	turquoise
ENSG00000075292	NA	brown
ENSG00000075391	NA	blue
ENSG00000075407	NA	brown
ENSG00000075415	NA	black
ENSG00000075420	NA	blue
ENSG00000075426	NA	grey
ENSG00000075539	NA	grey
ENSG00000075568	NA	blue
ENSG00000075618	NA	grey
ENSG00000075624	NA	turquoise
ENSG00000075651	NA	grey
ENSG00000075702	NA	brown
ENSG00000075790	NA	blue
ENSG00000075826	NA	grey
ENSG00000075884	NA	grey
ENSG00000076003	NA	pink
ENSG00000076201	NA	grey
ENSG00000076248	NA	grey
ENSG00000076344	NA	grey
ENSG00000076513	NA	blue
ENSG00000076604	NA	grey
ENSG00000076662	NA	green
ENSG00000076706	NA	turquoise
ENSG00000076716	NA	turquoise
ENSG00000076770	NA	blue
ENSG00000076826	NA	grey
ENSG00000076864	NA	grey
ENSG00000076924	NA	grey
ENSG00000076984	NA	grey
ENSG00000077092	NA	grey
ENSG00000077147	NA	blue
ENSG00000077152	NA	grey
ENSG00000077157	NA	grey
ENSG00000077232	NA	brown
ENSG00000077264	NA	blue
ENSG00000077274	NA	blue
ENSG00000077348	NA	grey
ENSG00000077420	NA	turquoise
ENSG00000077458	NA	brown
ENSG00000077463	NA	black
ENSG00000077684	NA	grey
ENSG00000077721	NA	blue
ENSG00000077782	NA	turquoise
ENSG00000078043	NA	grey
ENSG00000078061	NA	black
ENSG00000078114	NA	blue
ENSG00000078124	NA	blue
ENSG00000078177	NA	greenyellow
ENSG00000078246	NA	greenyellow
ENSG00000078401	NA	turquoise
ENSG00000078403	NA	brown
ENSG00000078668	NA	grey
ENSG00000078687	NA	grey
ENSG00000078699	NA	grey
ENSG00000078795	NA	brown
ENSG00000078808	NA	black
ENSG00000078814	NA	brown
ENSG00000078902	NA	black
ENSG00000079102	NA	grey
ENSG00000079134	NA	brown
ENSG00000079277	NA	grey
ENSG00000079308	NA	green
ENSG00000079313	NA	grey
ENSG00000079385	NA	grey
ENSG00000079432	NA	grey
ENSG00000079462	NA	grey
ENSG00000079616	NA	grey
ENSG00000079805	NA	purple
ENSG00000079819	NA	grey
ENSG00000079950	NA	greenyellow
ENSG00000079974	NA	grey
ENSG00000079999	NA	black
ENSG00000080007	NA	grey
ENSG00000080189	NA	black
ENSG00000080200	NA	grey
ENSG00000080298	NA	grey
ENSG00000080345	NA	greenyellow
ENSG00000080546	NA	grey
ENSG00000080603	NA	grey
ENSG00000080608	NA	greenyellow
ENSG00000080802	NA	greenyellow
ENSG00000080822	NA	greenyellow
ENSG00000080823	NA	brown
ENSG00000080824	NA	grey
ENSG00000080947	NA	brown
ENSG00000080986	NA	grey
ENSG00000081026	NA	grey
ENSG00000081087	NA	blue
ENSG00000081189	NA	grey
ENSG00000081237	NA	grey
ENSG00000081320	NA	grey
ENSG00000081479	NA	grey
ENSG00000081665	NA	brown
ENSG00000081692	NA	grey
ENSG00000081870	NA	grey
ENSG00000081913	NA	blue
ENSG00000081985	NA	grey
ENSG00000082074	NA	grey
ENSG00000082153	NA	grey
ENSG00000082175	NA	grey
ENSG00000082196	NA	brown
ENSG00000082258	NA	brown
ENSG00000082269	NA	greenyellow
ENSG00000082438	NA	blue
ENSG00000082458	NA	purple
ENSG00000082512	NA	grey
ENSG00000082781	NA	grey
ENSG00000082805	NA	grey
ENSG00000082996	NA	black
ENSG00000083067	NA	brown
ENSG00000083168	NA	greenyellow
ENSG00000083223	NA	greenyellow
ENSG00000083307	NA	black
ENSG00000083444	NA	grey
ENSG00000083520	NA	greenyellow
ENSG00000083535	NA	grey
ENSG00000083544	NA	grey
ENSG00000083642	NA	brown
ENSG00000083807	NA	brown
ENSG00000083845	NA	black
ENSG00000083857	NA	grey
ENSG00000083896	NA	greenyellow
ENSG00000083937	NA	blue
ENSG00000084070	NA	grey
ENSG00000084112	NA	grey
ENSG00000084207	NA	black
ENSG00000084623	NA	black
ENSG00000084636	NA	turquoise
ENSG00000084676	NA	grey
ENSG00000084693	NA	black
ENSG00000085063	NA	black
ENSG00000085265	NA	turquoise
ENSG00000085276	NA	grey
ENSG00000085382	NA	grey
ENSG00000085563	NA	blue
ENSG00000085644	NA	grey
ENSG00000085662	NA	grey
ENSG00000085741	NA	turquoise
ENSG00000085872	NA	grey
ENSG00000085998	NA	black
ENSG00000086061	NA	blue
ENSG00000086062	NA	blue
ENSG00000086065	NA	black
ENSG00000086159	NA	brown
ENSG00000086189	NA	grey
ENSG00000086289	NA	turquoise
ENSG00000086300	NA	blue
ENSG00000086504	NA	grey
ENSG00000086544	NA	black
ENSG00000086570	NA	turquoise
ENSG00000086589	NA	blue
ENSG00000086696	NA	grey
ENSG00000086712	NA	grey
ENSG00000086730	NA	turquoise
ENSG00000086848	NA	grey
ENSG00000087008	NA	black
ENSG00000087077	NA	grey
ENSG00000087086	NA	grey
ENSG00000087088	NA	grey
ENSG00000087111	NA	black
ENSG00000087116	NA	turquoise
ENSG00000087152	NA	black
ENSG00000087245	NA	turquoise
ENSG00000087253	NA	turquoise
ENSG00000087266	NA	purple
ENSG00000087303	NA	grey
ENSG00000087338	NA	blue
ENSG00000087502	NA	greenyellow
ENSG00000087510	NA	black
ENSG00000087586	NA	grey
ENSG00000087884	NA	green
ENSG00000088002	NA	grey
ENSG00000088038	NA	grey
ENSG00000088256	NA	black
ENSG00000088280	NA	turquoise
ENSG00000088298	NA	grey
ENSG00000088325	NA	pink
ENSG00000088340	NA	grey
ENSG00000088356	NA	grey
ENSG00000088448	NA	grey
ENSG00000088682	NA	grey
ENSG00000088726	NA	grey
ENSG00000088756	NA	grey
ENSG00000088826	NA	turquoise
ENSG00000088827	NA	green
ENSG00000088854	NA	grey
ENSG00000088882	NA	turquoise
ENSG00000088986	NA	grey
ENSG00000088992	NA	grey
ENSG00000089048	NA	brown
ENSG00000089057	NA	black
ENSG00000089060	NA	grey
ENSG00000089127	NA	green
ENSG00000089157	NA	black
ENSG00000089159	NA	green
ENSG00000089225	NA	grey
ENSG00000089248	NA	grey
ENSG00000089280	NA	brown
ENSG00000089335	NA	grey
ENSG00000089356	NA	grey
ENSG00000089486	NA	green
ENSG00000089597	NA	black
ENSG00000089682	NA	brown
ENSG00000089685	NA	pink
ENSG00000089693	NA	black
ENSG00000089775	NA	grey
ENSG00000089820	NA	green
ENSG00000089876	NA	black
ENSG00000090006	NA	green
ENSG00000090013	NA	grey
ENSG00000090020	NA	grey
ENSG00000090054	NA	blue
ENSG00000090060	NA	grey
ENSG00000090061	NA	brown
ENSG00000090266	NA	black
ENSG00000090339	NA	green
ENSG00000090376	NA	grey
ENSG00000090382	NA	turquoise
ENSG00000090432	NA	black
ENSG00000090520	NA	blue
ENSG00000090581	NA	grey
ENSG00000090674	NA	grey
ENSG00000090686	NA	brown
ENSG00000090776	NA	grey
ENSG00000090863	NA	black
ENSG00000090889	NA	pink
ENSG00000090905	NA	brown
ENSG00000090924	NA	grey
ENSG00000090971	NA	grey
ENSG00000091106	NA	turquoise
ENSG00000091136	NA	grey
ENSG00000091436	NA	grey
ENSG00000091483	NA	black
ENSG00000091490	NA	pink
ENSG00000091542	NA	black
ENSG00000091592	NA	grey
ENSG00000091640	NA	grey
ENSG00000091651	NA	brown
ENSG00000091879	NA	grey
ENSG00000091947	NA	black
ENSG00000091972	NA	blue
ENSG00000091986	NA	turquoise
ENSG00000092036	NA	grey
ENSG00000092295	NA	turquoise
ENSG00000092330	NA	grey
ENSG00000092470	NA	pink
ENSG00000092529	NA	grey
ENSG00000092531	NA	black
ENSG00000092820	NA	black
ENSG00000092841	NA	grey
ENSG00000092853	NA	grey
ENSG00000092929	NA	black
ENSG00000092931	NA	black
ENSG00000092964	NA	turquoise
ENSG00000092969	NA	grey
ENSG00000093009	NA	pink
ENSG00000093010	NA	grey
ENSG00000093167	NA	greenyellow
ENSG00000094755	NA	brown
ENSG00000094804	NA	pink
ENSG00000094914	NA	black
ENSG00000095059	NA	black
ENSG00000095066	NA	grey
ENSG00000095303	NA	green
ENSG00000095321	NA	grey
ENSG00000095380	NA	grey
ENSG00000095383	NA	grey
ENSG00000095564	NA	greenyellow
ENSG00000095574	NA	grey
ENSG00000095787	NA	greenyellow
ENSG00000095906	NA	grey
ENSG00000095951	NA	grey
ENSG00000095970	NA	green
ENSG00000096060	NA	grey
ENSG00000096063	NA	blue
ENSG00000096080	NA	black
ENSG00000096093	NA	grey
ENSG00000096384	NA	blue
ENSG00000096696	NA	purple
ENSG00000096746	NA	brown
ENSG00000096872	NA	grey
ENSG00000097021	NA	grey
ENSG00000099139	NA	grey
ENSG00000099203	NA	black
ENSG00000099204	NA	grey
ENSG00000099260	NA	grey
ENSG00000099308	NA	turquoise
ENSG00000099326	NA	grey
ENSG00000099330	NA	grey
ENSG00000099331	NA	turquoise
ENSG00000099341	NA	black
ENSG00000099364	NA	black
ENSG00000099377	NA	grey
ENSG00000099381	NA	grey
ENSG00000099385	NA	grey
ENSG00000099622	NA	grey
ENSG00000099715	NA	blue
ENSG00000099785	NA	grey
ENSG00000099795	NA	black
ENSG00000099797	NA	black
ENSG00000099800	NA	grey
ENSG00000099804	NA	grey
ENSG00000099812	NA	turquoise
ENSG00000099814	NA	grey
ENSG00000099817	NA	black
ENSG00000099821	NA	grey
ENSG00000099849	NA	purple
ENSG00000099864	NA	green
ENSG00000099875	NA	grey
ENSG00000099904	NA	green
ENSG00000099910	NA	black
ENSG00000099917	NA	grey
ENSG00000099942	NA	purple
ENSG00000099953	NA	black
ENSG00000099956	NA	black
ENSG00000099960	NA	grey
ENSG00000099968	NA	black
ENSG00000099977	NA	grey
ENSG00000099992	NA	black
ENSG00000100028	NA	greenyellow
ENSG00000100029	NA	grey
ENSG00000100034	NA	grey
ENSG00000100038	NA	grey
ENSG00000100055	NA	green
ENSG00000100058	NA	brown
ENSG00000100060	NA	grey
ENSG00000100065	NA	grey
ENSG00000100075	NA	grey
ENSG00000100092	NA	grey
ENSG00000100097	NA	grey
ENSG00000100100	NA	grey
ENSG00000100129	NA	grey
ENSG00000100138	NA	black
ENSG00000100139	NA	grey
ENSG00000100154	NA	grey
ENSG00000100196	NA	turquoise
ENSG00000100216	NA	black
ENSG00000100219	NA	black
ENSG00000100220	NA	black
ENSG00000100227	NA	black
ENSG00000100234	NA	turquoise
ENSG00000100239	NA	grey
ENSG00000100241	NA	grey
ENSG00000100242	NA	grey
ENSG00000100258	NA	grey
ENSG00000100263	NA	grey
ENSG00000100266	NA	grey
ENSG00000100280	NA	grey
ENSG00000100284	NA	black
ENSG00000100288	NA	grey
ENSG00000100292	NA	grey
ENSG00000100297	NA	salmon
ENSG00000100299	NA	grey
ENSG00000100300	NA	grey
ENSG00000100316	NA	black
ENSG00000100319	NA	black
ENSG00000100320	NA	turquoise
ENSG00000100345	NA	green
ENSG00000100354	NA	grey
ENSG00000100359	NA	grey
ENSG00000100364	NA	grey
ENSG00000100365	NA	green
ENSG00000100372	NA	grey
ENSG00000100379	NA	grey
ENSG00000100385	NA	turquoise
ENSG00000100387	NA	grey
ENSG00000100393	NA	grey
ENSG00000100401	NA	grey
ENSG00000100412	NA	black
ENSG00000100425	NA	greenyellow
ENSG00000100427	NA	green
ENSG00000100439	NA	grey
ENSG00000100441	NA	grey
ENSG00000100461	NA	black
ENSG00000100485	NA	blue
ENSG00000100490	NA	grey
ENSG00000100503	NA	blue
ENSG00000100554	NA	black
ENSG00000100564	NA	black
ENSG00000100567	NA	grey
ENSG00000100577	NA	grey
ENSG00000100591	NA	blue
ENSG00000100592	NA	grey
ENSG00000100593	NA	grey
ENSG00000100600	NA	grey
ENSG00000100605	NA	grey
ENSG00000100612	NA	green
ENSG00000100614	NA	blue
ENSG00000100625	NA	grey
ENSG00000100632	NA	black
ENSG00000100647	NA	grey
ENSG00000100650	NA	brown
ENSG00000100697	NA	greenyellow
ENSG00000100726	NA	grey
ENSG00000100744	NA	grey
ENSG00000100784	NA	purple
ENSG00000100804	NA	black
ENSG00000100813	NA	grey
ENSG00000100815	NA	greenyellow
ENSG00000100836	NA	grey
ENSG00000100842	NA	black
ENSG00000100902	NA	grey
ENSG00000100906	NA	grey
ENSG00000100926	NA	black
ENSG00000100941	NA	brown
ENSG00000100949	NA	black
ENSG00000100979	NA	green
ENSG00000100982	NA	grey
ENSG00000100983	NA	black
ENSG00000100985	NA	turquoise
ENSG00000100994	NA	grey
ENSG00000100997	NA	black
ENSG00000101000	NA	black
ENSG00000101003	NA	pink
ENSG00000101017	NA	turquoise
ENSG00000101052	NA	grey
ENSG00000101057	NA	grey
ENSG00000101084	NA	black
ENSG00000101104	NA	grey
ENSG00000101126	NA	grey
ENSG00000101132	NA	grey
ENSG00000101144	NA	pink
ENSG00000101146	NA	black
ENSG00000101150	NA	grey
ENSG00000101152	NA	grey
ENSG00000101166	NA	blue
ENSG00000101182	NA	black
ENSG00000101189	NA	black
ENSG00000101199	NA	grey
ENSG00000101220	NA	grey
ENSG00000101224	NA	green
ENSG00000101236	NA	turquoise
ENSG00000101276	NA	grey
ENSG00000101294	NA	grey
ENSG00000101298	NA	grey
ENSG00000101331	NA	grey
ENSG00000101333	NA	grey
ENSG00000101335	NA	turquoise
